RUN	restfulapi.RestfulApiTest	restfulapitest	1721421012454	 	3.11.3
USER	Result API Dev	START	1721421012916
USER	Result API Dev	START	1721421013013
USER	Result API Dev	START	1721421013115
USER	Result API Dev	START	1721421013215
USER	Result API Dev	START	1721421013316
USER	Result API Dev	START	1721421013416
REQUEST		CREATE Item	1721421012936	1721421013390	OK	 
REQUEST		CREATE Item	1721421013115	1721421013491	OK	 
USER	Result API Dev	START	1721421013517
REQUEST		CREATE Item	1721421013216	1721421013543	OK	 
USER	Result API Dev	START	1721421013617
USER	Result API Dev	START	1721421013717
REQUEST		CREATE Item	1721421013417	1721421013802	OK	 
USER	Result API Dev	START	1721421013818
REQUEST		UPDATE Item	1721421013446	1721421013823	OK	 
REQUEST		UPDATE Item	1721421013493	1721421013846	OK	 
REQUEST		UPDATE Item	1721421013544	1721421013949	OK	 
REQUEST		CREATE Item	1721421013617	1721421013983	OK	 
REQUEST		CREATE Item	1721421013014	1721421014047	OK	 
REQUEST		CREATE Item	1721421013717	1721421014066	OK	 
REQUEST		UPDATE Item	1721421013802	1721421014152	OK	 
REQUEST		CREATE Item	1721421013818	1721421014153	OK	 
REQUEST		GET Item 	1721421013846	1721421014151	OK	 
USER	Result API Dev	END	1721421014157
USER	Result API Dev	START	1721421014158
REQUEST		UPDATE Item	1721421014048	1721421014363	OK	 
REQUEST		UPDATE Item	1721421014067	1721421014400	OK	 
REQUEST		UPDATE Item	1721421013984	1721421014405	OK	 
REQUEST		CREATE Item	1721421013317	1721421014419	OK	 
REQUEST		UPDATE Item	1721421014154	1721421014465	OK	 
REQUEST		GET Item 	1721421014152	1721421014475	OK	 
USER	Result API Dev	END	1721421014477
USER	Result API Dev	START	1721421014477
REQUEST		CREATE Item	1721421014158	1721421014558	OK	 
REQUEST		CREATE Item	1721421013518	1721421014657	OK	 
REQUEST		GET Item 	1721421014364	1721421014657	OK	 
USER	Result API Dev	END	1721421014659
USER	Result API Dev	START	1721421014659
REQUEST		GET Item 	1721421014405	1721421014715	OK	 
USER	Result API Dev	END	1721421014717
USER	Result API Dev	START	1721421014717
REQUEST		GET Item 	1721421014400	1721421014768	OK	 
USER	Result API Dev	END	1721421014770
USER	Result API Dev	START	1721421014770
REQUEST		CREATE Item	1721421014477	1721421014809	OK	 
REQUEST		GET Item 	1721421014466	1721421014811	OK	 
USER	Result API Dev	END	1721421014812
USER	Result API Dev	START	1721421014813
REQUEST		UPDATE Item	1721421014559	1721421014917	OK	 
REQUEST		GET Item 	1721421013950	1721421014955	OK	 
USER	Result API Dev	END	1721421014956
USER	Result API Dev	START	1721421014957
REQUEST		CREATE Item	1721421014660	1721421015011	OK	 
REQUEST		GET Item 	1721421013824	1721421015085	OK	 
USER	Result API Dev	END	1721421015087
USER	Result API Dev	START	1721421015087
REQUEST		CREATE Item	1721421014717	1721421015115	OK	 
REQUEST		CREATE Item	1721421014813	1721421015155	OK	 
